created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 23:15:21 +0000 2023;1718406124259742141;"@KompasTV Terima kasih buat lembaga2 survey yg dg rajin &amp  rutin posting hasil surveynya 🤪😃  rakyat Indonesia makin semangat menangkan Anies-Muhaimin di pilpres 2024";0;0;0;0;in;1596897788075200512;1717807739974651999;YouMik25;https://twitter.com/YouMik25/status/1718406124259742141
Sat Oct 28 22:28:59 +0000 2023;1718394455445877114;"@KangManto123 Anies Badwedan tidak cocok dan tidak pantas jadi Presiden Republik Indonesia.  Anies cocoknya jadi presiden negeri KONOHA atau WAKANDA, yg hanya  menawarkan mimpi2 dan halusinasi.  Pilpres adalah ajang kerja nyata terhadap bangsa, bukan ajang MENATA KATA TANPA MAKNA.";0;0;0;1;in;1613778783760416768;1717820512267801017;yudiwibowo976;https://twitter.com/yudiwibowo976/status/1718394455445877114
Sat Oct 28 22:26:08 +0000 2023;1718393738249347211;"@pandji kualitas ganjar emg cuman segitu.  gw walau gk suka ama anies pas pilgub tpi pas pilpres kali ini mending milih dia atau prabowo dah.";0;0;0;1;in;1658443131849969664;1718270012153012556;kiel_xxeeeee;https://twitter.com/kiel_xxeeeee/status/1718393738249347211
Sat Oct 28 22:23:07 +0000 2023;1718392978983776608;"@RipkiSatya @hendrikk168 Belum tentu gp dam timnya. Bisa juga tim tv karena ga mau kena masalah. Lalu membandingkan dengan anies tidak apple to apple. Karena yg anies di roasting dulu udh 1 thnan. Dia blm ikut pilpres. Jadi aman2 aja.";0;0;0;0;in;1572796034;1718198731508711923;shiraivai7;https://twitter.com/shiraivai7/status/1718392978983776608
Sat Oct 28 22:12:08 +0000 2023;1718390218439766145;"Tadi malam saya bersilaturahim dgn para relawan Anies-Muhaimin (AMIN) untuk saling menyemangati dalam rangka memenangkan AMIN Pilpres 2024. https://t.co/yk8c1qAf28";1;0;54;226;in;114697372;1718390218439766145;musniumar;https://twitter.com/musniumar/status/1718390218439766145
Sat Oct 28 22:07:57 +0000 2023;1718389163056402576;"Gubernur Jakarta, Anies Baswedan Bakal Jadi Pesaing Prabowo Subianto  Di Pilpres 2024. - Rico Marbun Direktur Eksekutif Median Jum'at (16/10/2020) . https://t.co/wUqribXkSN . https://t.co/E9nKuPDZfk";0;6;9;55;in;1603638553820684289;1718389163056402576;cobeh2022;https://twitter.com/cobeh2022/status/1718389163056402576
Sat Oct 28 20:10:43 +0000 2023;1718359662297481621;"@hendra_misni @adi_nepri @jansen_jsp Ya paling hancur jaman anies memimpin Jd lupakan anies di pilpres 2024";0;1;0;0;in;2845806630;1717469724651774445;autobots5699;https://twitter.com/autobots5699/status/1718359662297481621
Sat Oct 28 19:59:57 +0000 2023;1718356951598596226;"@WagimanDeep212_ Di situasi sekarang dan kalau tdk ada ganjar ikut pilpres, hanya ada prabowo vs anies aku pilih prabowo sj Mau jadi apa negara ini klu si badut anies jd presiden Kalau prabowo, sdh tua, sakit sakitan, ada harapan gibran naik dan ada harapan situasinya seperti dipimpin jokowi lg https://t.co/B3OAr7nFkA";0;0;0;0;in;446299644;1718274601850204300;rieljodi;https://twitter.com/rieljodi/status/1718356951598596226
Sat Oct 28 19:44:39 +0000 2023;1718353099872690373;"@henny_blom @mharisman @Paltiwest Sasaran tembak mereka ini sekarang Prabowo dan Keluarga JOKOWI, semuanya salah mereka..  Anies mah gak dipeduliin soalnya saingan berat mereka sekarang kan Prabowo..  Lebih parah lagi @Dennysiregar7 ngomong lebih baik Anies yang menang PILPRES... 🤣🤣🤣";0;0;0;0;in;764292258174672896;1718224664378650758;tnw_wahyudi;https://twitter.com/tnw_wahyudi/status/1718353099872690373
Sat Oct 28 18:31:34 +0000 2023;1718334709602845166;"@iwantarigan @andre_rosiade @aniesbaswedan Termasuk gw,demi Allah &amp  Rasulullah,2x pilpres kmrin (2014&amp 2019) gw plh PS krna ikutin ijtima ulama,"plh yg sedkit mudharatnya di antra 2 ato lbh plhan" tp utk pilpres 2024 walo blm ada ijtima ulama,Insya Allah gw plh anies krna dah jls rekam jejaknya &amp  VM-nya pun jls";0;0;0;0;in;1389285008372686849;1718173937421693082;CakRony1130;https://twitter.com/CakRony1130/status/1718334709602845166
Sat Oct 28 18:21:29 +0000 2023;1718332171134595364;"@Trending_Issue 1 lagi yg perlu dilihat bahwa pak anies walaupun dikatain tetap santuy emosi tidak tinggi dan kayaknya menang ataupun gak menang di pilpres nanti beliau tetap jadi pemimpin di hati org/rakyat yg pengen ada perubahan.";0;0;0;0;in;2262930530;1717730660394365356;hendystra;https://twitter.com/hendystra/status/1718332171134595364
Sat Oct 28 17:40:33 +0000 2023;1718321872268587516;"AMIN PKB ANIES BASWEDAN MUHAIMIN ISKANDAR BELLIGHAM #AMINAjaDulu #AMINTegakLurusRakyat #AMINMakinYakin2024 https://t.co/G9prAPB1pn";0;0;0;0;in;1099311976075776000;1718321872268587516;posttruth__;https://twitter.com/posttruth__/status/1718321872268587516
Sat Oct 28 16:36:10 +0000 2023;1718305668934103221;"Presenter Ramzi Tegas Pilih Anies, Ini Alasannya  https://t.co/KD4C1aL7PU  #indoposco #AniesBaswedan #capres #pilpres #ramzi";0;1;0;1;in;1349713962472861696;1718305668934103221;indoposco;https://twitter.com/indoposco/status/1718305668934103221
