,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,clean_text,label,score,label_bert,score_bert
0,Sat Oct 28 23:15:21 +0000 2023,1718406124259742141,@KompasTV Terima kasih buat lembaga2 survey yg dg rajin &amp  rutin posting hasil surveynya 🤪😃  rakyat Indonesia makin semangat menangkan Anies-Muhaimin di pilpres 2024,0,0,0,0,in,1596897788075200512,1717807739974651999,YouMik25,https://twitter.com/YouMik25/status/1718406124259742141,kompastv terima kasih lembaga2 survey yg dg rajin amp rutin posting hasil surveynya rakyat indonesia semangat menang anies muhaimin pilpres 2024,neutral,0.9994819760322571,positive,0.889549732208252
1,Sat Oct 28 22:28:59 +0000 2023,1718394455445877114,"@KangManto123 Anies Badwedan tidak cocok dan tidak pantas jadi Presiden Republik Indonesia.  Anies cocoknya jadi presiden negeri KONOHA atau WAKANDA, yg hanya  menawarkan mimpi2 dan halusinasi.  Pilpres adalah ajang kerja nyata terhadap bangsa, bukan ajang MENATA KATA TANPA MAKNA.",0,0,0,1,in,1613778783760416768,1717820512267801017,yudiwibowo976,https://twitter.com/yudiwibowo976/status/1718394455445877114,kangmanto123 anies badwedan cocok presiden republik indonesia anies cocok presiden negeri konoha wakanda yg tawar mimpi2 halusinasi pilpres ajang kerja nyata hadap bangsa ajang tata makna,neutral,0.9975057244300842,neutral,0.8499277830123901
2,Sat Oct 28 22:26:08 +0000 2023,1718393738249347211,@pandji kualitas ganjar emg cuman segitu.  gw walau gk suka ama anies pas pilgub tpi pas pilpres kali ini mending milih dia atau prabowo dah.,0,0,0,1,in,1658443131849969664,1718270012153012556,kiel_xxeeeee,https://twitter.com/kiel_xxeeeee/status/1718393738249347211,pandji kualitas ganjar emg cuman segitu gw gk suka ama anies pas pilgub tpi pas pilpres kali mending milih prabowo dah,neutral,0.9945023059844971,negative,0.9868906736373901
3,Sat Oct 28 22:23:07 +0000 2023,1718392978983776608,@RipkiSatya @hendrikk168 Belum tentu gp dam timnya. Bisa juga tim tv karena ga mau kena masalah. Lalu membandingkan dengan anies tidak apple to apple. Karena yg anies di roasting dulu udh 1 thnan. Dia blm ikut pilpres. Jadi aman2 aja.,0,0,0,0,in,1572796034,1718198731508711923,shiraivai7,https://twitter.com/shiraivai7/status/1718392978983776608,ripkisatya hendrikk168 gp dam tim tim tv ga kena banding anies apple to apple yg anies roasting udh 1 thnan blm pilpres aman2 aja,neutral,0.9996647834777832,negative,0.47650572657585144
4,Sat Oct 28 22:12:08 +0000 2023,1718390218439766145,Tadi malam saya bersilaturahim dgn para relawan Anies-Muhaimin (AMIN) untuk saling menyemangati dalam rangka memenangkan AMIN Pilpres 2024. https://t.co/yk8c1qAf28,1,0,54,226,in,114697372,1718390218439766145,musniumar,https://twitter.com/musniumar/status/1718390218439766145,malam bersilaturahim dgn rawan anies muhaimin amin semangat rangka menang amin pilpres 2024,neutral,0.9996875524520874,neutral,0.8070531487464905
5,Sat Oct 28 22:07:57 +0000 2023,1718389163056402576,"Gubernur Jakarta, Anies Baswedan Bakal Jadi Pesaing Prabowo Subianto  Di Pilpres 2024. - Rico Marbun Direktur Eksekutif Median Jum'at (16/10/2020) . https://t.co/wUqribXkSN . https://t.co/E9nKuPDZfk",0,6,9,55,in,1603638553820684289,1718389163056402576,cobeh2022,https://twitter.com/cobeh2022/status/1718389163056402576,gubernur jakarta anies baswedan saing prabowo subianto pilpres 2024 rico marbun direktur eksekutif median jum at 16 10 2020,neutral,0.999692440032959,neutral,0.9978440999984741
6,Sat Oct 28 20:10:43 +0000 2023,1718359662297481621,@hendra_misni @adi_nepri @jansen_jsp Ya paling hancur jaman anies memimpin Jd lupakan anies di pilpres 2024,0,1,0,0,in,2845806630,1717469724651774445,autobots5699,https://twitter.com/autobots5699/status/1718359662297481621,hendra misni adi nepri jansen jsp hancur jaman anies pimpin jd lupa anies pilpres 2024,neutral,0.9997172951698303,negative,0.8227043747901917
7,Sat Oct 28 19:59:57 +0000 2023,1718356951598596226,"@WagimanDeep212_ Di situasi sekarang dan kalau tdk ada ganjar ikut pilpres, hanya ada prabowo vs anies aku pilih prabowo sj Mau jadi apa negara ini klu si badut anies jd presiden Kalau prabowo, sdh tua, sakit sakitan, ada harapan gibran naik dan ada harapan situasinya seperti dipimpin jokowi lg https://t.co/B3OAr7nFkA",0,0,0,0,in,446299644,1718274601850204300,rieljodi,https://twitter.com/rieljodi/status/1718356951598596226,wagimandeep212 situasi tdk ganjar pilpres prabowo vs anies pilih prabowo sj negara klu si badut anies jd presiden prabowo sdh tua sakit sakit harap gibran harap situasi pimpin jokowi lg,neutral,0.9996259212493896,negative,0.9173993468284607
8,Sat Oct 28 19:44:39 +0000 2023,1718353099872690373,"@henny_blom @mharisman @Paltiwest Sasaran tembak mereka ini sekarang Prabowo dan Keluarga JOKOWI, semuanya salah mereka..  Anies mah gak dipeduliin soalnya saingan berat mereka sekarang kan Prabowo..  Lebih parah lagi @Dennysiregar7 ngomong lebih baik Anies yang menang PILPRES... 🤣🤣🤣",0,0,0,0,in,764292258174672896,1718224664378650758,tnw_wahyudi,https://twitter.com/tnw_wahyudi/status/1718353099872690373,henny blom mharisman paltiwest sasar tembak prabowo keluarga jokowi salah anies mah gak dipeduliin saing berat prabowo parah dennysiregar7 ngomong anies menang pilpres,negative,0.9992202520370483,negative,0.9929705262184143
9,Sat Oct 28 18:31:34 +0000 2023,1718334709602845166,"@iwantarigan @andre_rosiade @aniesbaswedan Termasuk gw,demi Allah &amp  Rasulullah,2x pilpres kmrin (2014&amp 2019) gw plh PS krna ikutin ijtima ulama,plh yg sedkit mudharatnya di antra 2 ato lbh plhan"" tp utk pilpres 2024 walo blm ada ijtima ulama,Insya Allah gw plh anies krna dah jls rekam jejaknya &amp  VM-nya pun jls""",0,0,0,0,in,1389285008372686849,1718173937421693082,CakRony1130,https://twitter.com/CakRony1130/status/1718334709602845166,iwantarigan andre rosiade aniesbaswedan masuk gw allah amp rasulullah 2x pilpres kmrin 2014 amp 2019 gw plh ps krna ikutin ijtima ulama plh yg sedkit mudharatnya antra 2 ato lbh plhan tp utk pilpres 2024 walo blm ijtima ulama insya allah gw plh anies krna dah jls rekam jejak amp vm nya jls,neutral,0.9986715316772461,positive,0.56526118516922
