,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,clean_text,label,score,label_bert,score_bert
0,Sat Oct 28 23:59:49 +0000 2023,1718417315702972432,@EAAANNH @zone1_war @savicali @NUgarislucu LSI bilang Tingkat Kepuasan Publik ke Jokowi 90 persen.. Indikator 80 persen lebih 🤣🤣🤣🤣 lah di survey sama pemilih anies 21-25 persenan belum lagi pro prabowo yg masih anti jokowi kyk fans dewa 30 persen..sekalian ambil margin of error + angka oposisi 🤣 YANG PERCAYA KOCAK 🤣,0,0,0,0,in,1714893544614416384,1718220830520611299,jobirganjar,https://twitter.com/jobirganjar/status/1718417315702972432,eaaannh zone1 war savicali nugarislucu lsi bilang tingkat puas publik jokowi 90 persen indikator 80 persen survey pilih anies 21 25 persen pro prabowo yg anti jokowi kyk fans dewa 30 persen ambil margin of error angka oposisi percaya kocak,neutral,0.9876430034637451,negative,0.9239157438278198
1,Sat Oct 28 23:59:03 +0000 2023,1718417124132290902,@ata0923 @PartaiSocmed Apalagi Demokrat. Skalipun saat ntu Nasdem udah mulai sowanan ama PKS n saat ntu kejadiannya setelah Nasdem ama Anies makan siang yang disaat bersamaan Mega ama Prabowo masak nasi goreng. Dulu Nasdem blom ada pertimbangan mo usung Anies bener2. Makanya kek Irma Chaniago gedeg,0,0,0,0,in,2862109627,1718287042277159154,FelixSGL1,https://twitter.com/FelixSGL1/status/1718417124132290902,ata0923 partaisocmed demokrat skalipun ntu nasdem udah sowan ama pks n ntu nasdem ama anies makan siang mega ama prabowo masak nasi goreng nasdem blom timbang mo usung anies bener2 kek irma chaniago gedeg,neutral,0.9996102452278137,neutral,0.8317493200302124
2,Sat Oct 28 23:58:52 +0000 2023,1718417077797826860,"@Dennysiregar7 Kalau bagi saya, Pilpres tahun 2024 adalah unik, dua kandidat yang membingungkan, Ganjar Mahfud APA Prabowo Gibran, tapi aku tetap memilih Ganjar Mahfud",0,0,0,0,in,1519250397747347456,1716833023176610007,JudokoS,https://twitter.com/JudokoS/status/1718417077797826860,dennysiregar7 pilpres 2024 unik kandidat bingung ganjar mahfud prabowo gibran pilih ganjar mahfud,neutral,0.9992368221282959,neutral,0.9957749247550964
3,Sat Oct 28 23:58:16 +0000 2023,1718416928245739951,"@mihrabku Kampanye pilpres 2019, Di banyak tempat kampanye Prabowo Sandi juga membludak audiennya, sebaliknya Jokowi Makruf lebih banyak ditemukan audien artifisial..  Kenyataannya.. yg disahkan yang kampanyenya lebih sepi.",0,0,0,0,in,87234890,1718236742162202790,alpha_n,https://twitter.com/alpha_n/status/1718416928245739951,mihrab kampanye pilpres 2019 kampanye prabowo sandi membludak audiennya jokowi makruf temu audien artifisial nyata yg sah kampanye sepi,negative,0.999538779258728,negative,0.9409107565879822
4,Sat Oct 28 23:58:02 +0000 2023,1718416868795650475,Prabowo dan Budiman Bakal Satu Panggung Acara Nasional Pekan Depan - CNN Indonesia https://t.co/lZzNTzjXUz #Jokowinomics #MenataMasaDepan #PrabowoPetugasRakyat,0,0,9,0,in,795445014864203777,1718416868795650475,AzhareAkiba,https://twitter.com/AzhareAkiba/status/1718416868795650475,prabowo budiman panggung acara nasional pekan cnn indonesia jokowinomics menatamasadepan prabowopetugasrakyat,neutral,0.9996298551559448,neutral,0.9937937259674072
5,Sat Oct 28 23:57:58 +0000 2023,1718416851812925621,@sigitwid kalo yg paling sepuh tentu pak Prabowo ( kalau jadi ) juara kalau versi Indonesia,0,0,0,0,in,1699041575593250816,1717896385037807907,BennyGabee,https://twitter.com/BennyGabee/status/1718416851812925621,sigitwid kalo yg sepuh prabowo juara versi indonesia,neutral,0.9971460700035095,positive,0.8984026312828064
6,Sat Oct 28 23:57:55 +0000 2023,1718416838458216787,"@YRadianto Bukan cara menikmati kalimatnya mungkin ya, tapa cara mendapatkan untuk jadi cawapres prabowo.. Sampuun..",0,0,0,0,in,1656499880515506178,1718272693219537289,uaswahan89,https://twitter.com/uaswahan89/status/1718416838458216787,yradianto nikmat kalimat tapa cawapres prabowo sampuun,neutral,0.9893293976783752,positive,0.8707991242408752
7,Sat Oct 28 23:57:42 +0000 2023,1718416783705874504,"@Paltiwest bobby juga terpaksa dukung prabowo gibran, karena kalo sampe berlawanan you know lah, pasti bakal dikucilin di keluarga, brengsek emang tuh mas-mas tukang es teh solo😀🤌",0,0,0,0,in,1466707969576366082,1718404628088512819,tyoojani,https://twitter.com/tyoojani/status/1718416783705874504,paltiwest bobby paksa dukung prabowo gibran kalo sampe lawan you know dikucilin keluarga brengsek emang tuh mas mas tukang es teh solo,negative,0.9997463822364807,negative,0.996119499206543
8,Sat Oct 28 23:57:37 +0000 2023,1718416763317338200,@AzzamIzzulhaq @aniesbaswedan @cakimiNOW @susipudjiastuti @prabowo Pak Anis sdh pernah sowan ke beliau bg,0,0,0,0,in,1586367067250642944,1717867229822505348,a_mwandi,https://twitter.com/a_mwandi/status/1718416763317338200,azzamizzulhaq aniesbaswedan cakiminow susipudjiastuti prabowo anis sdh sowan beliau bg,neutral,0.9997212290763855,neutral,0.9928324222564697
9,Sat Oct 28 23:57:35 +0000 2023,1718416752986755112,@yoggii_e @tempodotco jangankan dinasti. pernah prabowo bilang korupsi kalau dikit gpp,0,0,0,0,in,1651925923334356992,1716863776304345336,tamanakalcom,https://twitter.com/tamanakalcom/status/1718416752986755112,yoggii e tempodotco dinasti prabowo bilang korupsi dikit gpp,neutral,0.9919617772102356,negative,0.8102858066558838
10,Sat Oct 28 23:57:31 +0000 2023,1718416737694331204,"@RijhondhyS @prabowo @adearmando61 @AlmaghribiS @are_inismyname @BANGSAygSUJUD @bengkeldodo @Chaves1305 @EllyKoro @gananjaya @gibran_tweet @Kimberley_2024 Ayah @prabowo Calon Pemimpin Hebat, berkali kali tumbang tak kenal gentar, Indonesia butuh pemimpin seperti Ayah, Orang2 yg slalu bertahan berjuang bersama Ayah, mereka adalah Pemenang Sbb Mreka memilih ttap berdiri diatas Prinsip dn tdk akn menghianati Prinsip. Itulah Pejuang.",0,1,0,1,in,1660885617306406912,1718248798487732569,zaqila959,https://twitter.com/zaqila959/status/1718416737694331204,rijhondhys prabowo adearmando61 almaghribis are inismyname bangsaygsujud bengkeldodo chaves1305 ellykoro gananjaya gibran tweet kimberley 2024 ayah prabowo calon pimpin hebat kali kali tumbang kenal gentar indonesia butuh pimpin ayah orang2 yg slalu tahan juang ayah menang sbb mreka pilih ttap prinsip dn tdk akn menghianati prinsip juang,positive,0.9787108302116394,positive,0.611527144908905
11,Sat Oct 28 23:57:30 +0000 2023,1718416735051899238,@yennywahid @ganjarpranowo Prabowo Gibran presiden baru kita,0,0,0,0,in,1424955995415973889,1718265553247461679,DwiHart08845750,https://twitter.com/DwiHart08845750/status/1718416735051899238,yennywahid ganjarpranowo prabowo gibran presiden,neutral,0.9996733665466309,neutral,0.9956870675086975
12,Sat Oct 28 23:57:28 +0000 2023,1718416723756675085,"@adearmando61 Halah banyak dalih.... Intinya @prabowo dan koalisinya,terutama @psi_id gak percaya diri dan takut kalah,makanya narik² @jokowi dan anak²nya..",0,0,0,0,in,1637199236,1718065825767358747,Whyd801,https://twitter.com/Whyd801/status/1718416723756675085,adearmando61 halah dalih inti prabowo koalisi utama psi id gak percaya takut kalah narik jokowi anak nya,negative,0.5275670886039734,negative,0.9428764581680298
13,Sat Oct 28 23:57:16 +0000 2023,1718416674863624495,@gm_gm 1. Apakah Prabowo punya hubungan keluarga dg gibran?  2. Apakah pak jokowi pengurus gerindra?  3. Apa kriteria untuk nepotisme?,0,0,0,1,in,1685909237501956096,1718268539629683016,sipeyang_,https://twitter.com/sipeyang_/status/1718416674863624495,gm gm 1 prabowo hubung keluarga dg gibran 2 jokowi urus gerindra 3 kriteria nepotisme,neutral,0.9995880722999573,neutral,0.996362030506134
14,Sat Oct 28 23:57:08 +0000 2023,1718416640818430103,"Dan inilah pernyataan Prabowo ttg TUKANG2 SURVEI"" 👇👇👇 https://t.co/mqBlHcwTC5""",0,0,0,0,in,1230274691270492160,1718416640818430103,RadenSetyaki2,https://twitter.com/RadenSetyaki2/status/1718416640818430103,nyata prabowo ttg tukang2 survei,neutral,0.9270531535148621,neutral,0.5736877918243408
15,Sat Oct 28 23:57:07 +0000 2023,1718416635567145141,",,,, kalau putusan MKMK batalkan keputusan MK ttg batasan umur Capres Cawapres , apakah pencalonan Gibran sbg Cawapres dari Prabowo batal ?? (3)",0,3,3,13,in,131814756,1718416631200944633,susno2g,https://twitter.com/susno2g/status/1718416635567145141,putus mkmk batal putus mk ttg batas umur capres cawapres calon gibran sbg cawapres prabowo batal 3,neutral,0.9997032284736633,neutral,0.9911995530128479
16,Sat Oct 28 23:56:54 +0000 2023,1718416580764483673,@xquitavee Sebenarnya pak Prabowo pernah bilang ke pak Jokowi ingin mencalonkan Gibran sebagai cawapres nya tapi pak Jokowi tidak setuju  saat itu   pak Jokowi gak mau nanti disangka aji mumpung kalau gak perca tanya saja langsung ke Prabowo,0,0,0,0,in,1276876868340203520,1718406805200753080,bendolganteng,https://twitter.com/bendolganteng/status/1718416580764483673,xquitavee prabowo bilang jokowi calon gibran cawapres nya jokowi tuju jokowi gak sangka aji mumpung gak perca langsung prabowo,neutral,0.9933898448944092,negative,0.4616389870643616
