created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 23:58:52 +0000 2023;1718417077797826860;"@Dennysiregar7 Kalau bagi saya, Pilpres tahun 2024 adalah unik, dua kandidat yang membingungkan, Ganjar Mahfud APA Prabowo Gibran, tapi aku tetap memilih Ganjar Mahfud";0;0;0;0;in;1519250397747347456;1716833023176610007;JudokoS;https://twitter.com/JudokoS/status/1718417077797826860
Sat Oct 28 23:53:48 +0000 2023;1718415801613746553;"@antaranews MasyaAllah bismillah pak Ganjar pak Mahfud menang di pilpres 2024🔥🔥maju terus";0;0;0;0;in;1556925232698789889;1718215169753637138;SNnnnnn25;https://twitter.com/SNnnnnn25/status/1718415801613746553
Sat Oct 28 23:52:22 +0000 2023;1718415442732363881;"Yeni Wahid memilih untuk mendukung Ganjar dan Mahfud pada pilpres 2024 https://t.co/VHbWnZSKwq";0;0;0;0;in;1557982478882639872;1718415442732363881;elisaa881;https://twitter.com/elisaa881/status/1718415442732363881
Sat Oct 28 23:50:58 +0000 2023;1718415090737938916;"@Melihat_Indo Rahayu Pak Ganjar , semoga bapak diberikan kesehatan dan menang pilpres 2024 ya pak https://t.co/falShsmI4f";0;0;0;0;in;1682034488065548289;1718139914121101483;Ekoii377428;https://twitter.com/Ekoii377428/status/1718415090737938916
Sat Oct 28 23:50:11 +0000 2023;1718414890195624236;"Pada acara Kick Kontroversi di Metro TV pada Sabtu (28/10), Calon Presiden dan Wakil Presiden Ganjar Pranowo - Mahfud Md mengungkapkan pendekatan yang unik dalam perjalanannya menuju Pilpres 2024.  Ganjar juga mengajak masyarakat untuk mendukung mereka dalam Pilpres 2024 dengan… https://t.co/ooesHm9Eub";0;0;2;3;in;1230994530083565568;1718414890195624236;sahabatganjar;https://twitter.com/sahabatganjar/status/1718414890195624236
Sat Oct 28 23:45:35 +0000 2023;1718413734467813790;"@Nikmatul_Sg Rahayu Pak Ganjar, semoga bapak selalu sehat dan menang di pilpres sehingga bisa melayani rakyat. Selamat ulang tahun ke-55 https://t.co/bcVYFYRJS5";0;0;0;0;in;1554376111777542145;1718141419733619164;gelylian;https://twitter.com/gelylian/status/1718413734467813790
Sat Oct 28 23:43:57 +0000 2023;1718413321920032919;"@kiki_daliyo Kami bersyukur bapak lahir ke dunia 55 tahun lalu dan berterima kasih atas apa yang bapak lakukan selama ini. Rahayu Pak Ganjar. Sehat selalu dan sukses di pilpres nanti https://t.co/eyaCSjqK5f";0;0;0;0;in;1598162444496515072;1718142795444298162;inainasta;https://twitter.com/inainasta/status/1718413321920032919
Sat Oct 28 23:39:15 +0000 2023;1718412138556043437;"@ganjarpranowo Pak Ganjar Yaqin ingin beradu gagasan dan data. Dengan tanpa Hoax. Maaf pak nanti jenengan Kalah. Saat ini sudah jelas di PILPRES 2024 .";0;0;0;0;in;818516624575561728;1717530827402170858;sultan_rahmat_X;https://twitter.com/sultan_rahmat_X/status/1718412138556043437
Sat Oct 28 23:36:02 +0000 2023;1718411332301848590;"@Melihat_Indo Masyarakat Jateng sudah merasakan kemajuan atas apa yang telah bapak lakukan selama ini, Rakyat Indonesia pun pasti ingin merasakannya juga. Semoga bapak menang di pilpres dan bisa mewujudkannya. Selamat Ulang Tahun. Rahayu Pak Ganjar https://t.co/6fTlTwTLDZ";0;0;0;0;in;1693593600293289984;1718139914121101483;sri_oktaviani8;https://twitter.com/sri_oktaviani8/status/1718411332301848590
Sat Oct 28 23:31:44 +0000 2023;1718410249923879006;"@Melihat_Indo Rahayu Pak Ganjar , kami mendoakan yang terbaik buat bapak. Semoga sehat dan sukses di pilpres nanti https://t.co/lvgR0F51n9";0;0;0;0;in;1454098536866320387;1718139914121101483;tikaelook;https://twitter.com/tikaelook/status/1718410249923879006
Sat Oct 28 23:30:46 +0000 2023;1718410006360723470;"Imbas Mahfud MD Jadi Cawapres, Tokoh Besar Madura Sekaligus Ketum IKAMA Pusat Dukung Ganjar di Pilpres 2024.  #ganjarpranowo #mahfudmd #ganjarmahfud2024 #fyp #fypシ #fypシ゚viral #beritaviral #viral https://t.co/QzUzsTpZLE";0;0;0;0;in;1396747676864053249;1718410006360723470;yulrahma45;https://twitter.com/yulrahma45/status/1718410006360723470
Sat Oct 28 23:27:23 +0000 2023;1718409155932037150;"Perjalanan Ganjar-Mahfud di Pilpres 2024 tak mudah, jurus cepat apa yang dipakai untuk raih kemenangan?  https://t.co/iU5yjGUJJt";0;0;0;0;in;86211642;1718409155932037150;KasanMulyono;https://twitter.com/KasanMulyono/status/1718409155932037150
Sat Oct 28 23:25:40 +0000 2023;1718408720550666719;"@SINDOnews Yenny Wahid memberikan dukungan luar biasa kepada Ganjar Pranowo dan Mahfud MD untuk Pilpres 2024.";0;0;0;0;in;1703429523432443904;1717866231074611218;saputgtg;https://twitter.com/saputgtg/status/1718408720550666719
Sat Oct 28 23:23:10 +0000 2023;1718408091572867126;"Yenny Wahid Resmi Dukung Ganjar-Mahfud di Pilpres 2024.  #ganjarpranowo #mahfudmd #ganjarmahfud2024 #fyp #fypシ #fypシ゚viral #beritaviral #viral https://t.co/460pT6nQnZ";0;0;0;0;in;1396747676864053249;1718408091572867126;yulrahma45;https://twitter.com/yulrahma45/status/1718408091572867126
Sat Oct 28 23:18:16 +0000 2023;1718406858644619697;"Demi   bangsa, Pak Ganjar siap maju Pilpres #GanjarCapres https://t.co/grSexxENwy";1;1;0;1;in;1564418290641817602;1718406855540810160;indo_pejuang;https://twitter.com/indo_pejuang/status/1718406858644619697
Sat Oct 28 23:15:26 +0000 2023;1718406146183323722;"@sapi05490638 Keluarga Gus Dur mendukung Ganjar Pranowo - Mahfud Md di Pilpres 2024";0;0;0;0;in;1618632655167426560;1718281701959544965;aldistiawan768;https://twitter.com/aldistiawan768/status/1718406146183323722
